Genus(zh),Genus(la),Family,Feeding,CP,Genus.Average.Mass,Family.Average.Mass
,Hartertia,Hartertiidae,Animal parasites,,,
,Africana,Heterakidae,Animal parasites,,,
,Heterakis,Heterakidae,Animal parasites,,387.121,387.121
,Angusticaecum,Ascarididae,Animal parasites,,,
,Baylisascaris,Ascarididae,Animal parasites,,,
,Freitascaris,Ascarididae,Animal parasites,,,
,Histodytes,Guyanemidae,Animal parasites,,6249.486,3143.404
,Orneoascaris,Ascarididae,Animal parasites,,,
,Ornithocapillaria,Trichuridae,Animal parasites,,,
,Raillietascaris,Ascarididae,Animal parasites,,,
,Seuratascaris,Ascarididae,Animal parasites,,,
,Travassosascaris,Ascarididae,Animal parasites,,,
,Abathymermis,Mermithidae,Animal parasites,,530.303,7216.208
,Abbreviata,Physalopteridae,Animal parasites,,1466.162,18886.119
,Abirovulva,Carnoyidae,Animal parasites,,,
,Abos,Benthimermithidae,Animal parasites,,,
,Acanthoatractis,Atractidae,Animal parasites,,,
,Acanthocheilonema,Onchocercidae,Animal parasites,,3944.183,24238.879
,Acanthorhabdias,Rhabdiasidae,Animal parasites,,,
,Acanthostrongylus,Heligmonellidae,Animal parasites,,,
,Acanthoxyuris,Oxyuridae,Animal parasites,,,
,Acanthungella,Ungellidae,Animal parasites,,,
,Adenodelphis,Benthimermithidae,Animal parasites,,,
,Adieronema,Drilonematidae,Animal parasites,,,
,Adungella,Ungellidae,Animal parasites,,,
,Aelurostrongylus,Angiostrongylidae,Animal parasites,,38,994.307
,Africanastrongylus,Haemonchidae,Animal parasites,,,
,Afrophilometra,Philometridae,Animal parasites,,,
,Agamermis ,Mermithidae,Animal parasites,,,
,Agfa,Agfidae,Animal parasites,,,
,Agriostomum,Chabertiidae,Animal parasites,,,
,Agrochanus,Skrjabillanidae,Animal parasites,,,
,Akodonema,Angiostrongylidae,Animal parasites,,999.633,994.307
,Alaninema,Drilonematidae,Animal parasites,,,
,Aliascaris,Heterocheilidae,Animal parasites,,,
,Allantonema,Allantonematidae,Animal parasites,,,
,Allintoshius,Ornithostrongylidae,Animal parasites,,,
,Allomermis ,Mermithidae,Animal parasites,,,
,Alocostoma,Chabertiidae,Animal parasites,,,
,Amidostomoides,Trichostrongylidae,Animal parasites,,96.554,88.593
,Amidostomum,Trichostrongylidae,Animal parasites,,109.287,88.593
,Amphibiomermis,Mermithidae,Animal parasites,,,
,Amphibiophilus,Amphibiophilidae,Animal parasites,,,
,Amphicephaloides,Herpetostrongylidae,Animal parasites,,,
,Amphidomermis,Mermithidae,Animal parasites,,,
,Amphimermis,Mermithidae,Animal parasites,,11634.369,7216.208
,Anandranema,Allantonematidae,Animal parasites,,,
,Anatrichosoma,Trichosomoididae,Animal parasites,,,
,Ancistronema,Chabertiidae,Animal parasites,,,
,Ancylostoma,Ancylostomatidae,Animal parasites,,1557.892,1808.409
,Andersonstrongylus,Angiostrongylidae,Animal parasites,,223.328,994.307
,Angiocaulus,Angiostrongylidae,Animal parasites,,,
,Angiostoma,Angiostomatidae,Animal parasites,,67.327,67.327
,Angiostrongylus,Angiostrongylidae,Animal parasites,,1513.267,994.307
,Anguillicola,Anguillicolidae,Animal parasites,,49219.175,42464.743
,Anguillicoloides,Anguillicolidae,Animal parasites,,28955.878,42464.743
,Angulocirrus,Molineidae,Animal parasites,,,
,Anisakis,Anisakidae,Animal parasites,,,
,Anomalostoma,Hystrignathidae,Animal parasites,,,
,Anoplostrongylus,Molineidae,Animal parasites,,89.55,757.114
,Ansiruptodera,Aspidoderidae,Animal parasites,,,
,Antechinostrongylus,Angiostrongylidae,Animal parasites,,,
,Anuronema,Hystrignathidae,Animal parasites,,,
,Aoruroides,Thelastomatidae,Animal parasites,,,
,Aorurus,Thelastomatidae,Animal parasites,,,
,Aphelenchulus,Allantonematidae,Animal parasites,,,
,Aplectana,Cosmocercidae,Animal parasites,,114.9,871.917
,Aprocta,Aproctidae,Animal parasites,,,
,Aproctoides,Aproctidae,Animal parasites,,,
,Aproctonema,Tetradonematidae,Animal parasites,,,
,Araguanema,Drilonematidae,Animal parasites,,11.446,15.394
,Archeostrongylus,Syngamidae,Animal parasites,,,
,Arnfieldia,Trichostrongylidae,Animal parasites,,,
,Arthrostoma,Ancylostomatidae,Animal parasites,,,
,Artigasia,Hystrignathidae,Animal parasites,,,
,Arundelia,Chabertiidae,Animal parasites,,,
,Aruroides,Thelastomatidae,Animal parasites,,,
,Ascaridia,Ascaridiidae,Animal parasites,,338894.628,1328679.075
,Ascaris,Ascarididae,Animal parasites,,5510322.097,1328679.075
,Ascarophis,Cystidicolidae,Animal parasites,,51.981,562.575
,Ascarophisnema,Cystidicolidae,Animal parasites,,,
,Ascarops,Spirocercidae,Animal parasites,,1758.656,1758.656
,Ashworthus,Haemonchidae,Animal parasites,,,
,Aspicularis,Heteroxynematidae,Animal parasites,,131.973,141.559
,Aspidodera,Aspidoderidae,Animal parasites,,314.02,314.02
,Asymmetracantha,Mackerrastrongylidae,Animal parasites,,,
,Athusia,Drilonematidae,Animal parasites,,,
,Atractis,Atractidae,Animal parasites,,1004.501,187.652
,Aulachnema,Angiostomatidae,Animal parasites,,,
,Austraplectana,Cosmocercidae,Animal parasites,,280.484,871.917
,Austrostrongylus,Herpetostrongylidae,Animal parasites,,,
,Austroxyuris,Oxyuridae,Animal parasites,,,
,Avellaria,Viannaiidae,Animal parasites,,,
,Avioserpens,Dracunculidae,Animal parasites,,,
,Bainechina,Seuratidae,Animal parasites,,,
,Bakeria,Molineidae,Animal parasites,,75.149,757.114
,Baruscapillaria,Capillariidae,Animal parasites,,0.018,57.668
,Bathymermis,Mermithidae,Animal parasites,,,
,Bathynema,Benthimermithidae,Animal parasites,,,
,Batrachocamallanus,Camallanidae,Animal parasites,,,
,Batrachonema,Amphibiophilidae,Animal parasites,,,
,Batrachostrongylus,Molineidae,Animal parasites,,,
,Batwanema,Hystrignathidae,Animal parasites,,15.606,67.62
,Beaninema,Rhabdochonidae,Animal parasites,,,
,Benthimermis,Benthimermithidae,Animal parasites,,,
,Beveridgea,Chabertiidae,Animal parasites,,,
,Beveridgiella,Herpetostrongylidae,Animal parasites,,,
,Biacantha,Molineidae,Animal parasites,,,
,Bidentostomum,Strongylidae,Animal parasites,,,
,Bidigicaudata,Molineidae,Animal parasites,,,
,Bilobostoma,Thelastomatidae,Animal parasites,,,
,Binema,Travassosinematidae,Animal parasites,,64.27,64.27
,Biogastranema,Cooperiidae,Animal parasites,,,
,Bispiculum,Tetradonematidae,Animal parasites,,,
,Blatticola,Thelastomatidae,Animal parasites,,157.594,235.402
,Blattophila,Thelastomatidae,Animal parasites,,,
,Blazionema,Thelastomatidae,Animal parasites,,,
,Bloberinema,Thelastomatidae,Animal parasites,,,
,Boehmiella,Boehmiellidae,Animal parasites,,2672.87,2672.87
,Boracelanema,Hystrignathidae,Animal parasites,,,
,Borellostrongylus,Molineidae,Animal parasites,,,
,Bourgelatia,Chabertiidae,Animal parasites,,,
,Bourgelatioides,Chabertiidae,Animal parasites,,,
,Bovienema,Allantonematidae,Animal parasites,,,
,Boydinema,Syngamidae,Animal parasites,,,
,Bradynema,Allantonematidae,Animal parasites,,74.187,46.474
,Bradypostrongylus,Molineidae,Animal parasites,,,
,Brevimulticaecum,Heterocheilidae,Animal parasites,,,
,Brevistriata,Heligmonellidae,Animal parasites,,,
,Bronchonema,Dictyocaulidae,Animal parasites,,,
,Brugia,Onchocercidae,Animal parasites,,460.492,24238.879
,Brumptaemilius,Carnoyidae,Animal parasites,,,
,Brygoonema,Molineidae,Animal parasites,,,
,Buckleyatractis,Atractidae,Animal parasites,,1318.092,187.652
,Buckleynema,Quimperiidae,Animal parasites,,,
,Bulbodacnitis,Cucullanidae,Animal parasites,,,
,Bunomystrongylus,Heligmonellidae,Animal parasites,,,
,Bunostomum,Ancylostomatidae,Animal parasites,,3305.445,1808.409
,Burmanema,Drilonematidae,Animal parasites,,,
,Caballonema,Strongylidae,Animal parasites,,,
,Caenostrongylus,Molineidae,Animal parasites,,,
,Calodium,Capillariidae,Animal parasites,,,
,Calypsostrongylus,Heligmonellidae,Animal parasites,,,
,Camallanides,Camallanidae,Animal parasites,,,
,Camallanus,Camallanidae,Animal parasites,,415.614,2996.315
,Camelostrongylus,Haemonchidae,Animal parasites,,,
,Cameronia,Thelastomatidae,Animal parasites,,,
,Capillaria,Capillariidae,Animal parasites,,62.337,240513.096
,Capillispirura,Cystidicolidae,Animal parasites,,,
,Capitomermis,Mermithidae,Animal parasites,,,
,Caranginema,Philometridae,Animal parasites,,,
,Cardiofilaria,Oswaldofilariidae,Animal parasites,,,
,Carlosia,Hystrignathidae,Animal parasites,,,
,Carnoya,Carnoyidae,Animal parasites,,,
,Carolinensis,Heligmonellidae,Animal parasites,,,
,Carostrongylus,Molineidae,Animal parasites,,,
,Cassunema,Chabertiidae,Animal parasites,,,
,Castorstrongylus,Chabertiidae,Animal parasites,,,
,Cattiena,Carnoyidae,Animal parasites,,,
,Cephalobellus,Thelastomatidae,Animal parasites,,296.496,235.402
,Ceratospira,Thelaziidae,Animal parasites,,,
,Cercogylus,Angiostrongylidae,Animal parasites,,,
,Cercopithifilaria,Onchocercidae,Animal parasites,,,
,Cervonemella,Chabertiidae,Animal parasites,,,
,Chabaudechina,Seuratidae,Animal parasites,,,
